Genes log2FoldChange
c(\COL17A1\, \MIR936\) 2.08559601312002
GSTO2 1.6643726192606
ME1 1.70514010586983
PDE4A 1.04095130465511
PPP2R5A 1.10352267763006
CTNNA2 6.23099800403225
SMARCD1 1.40577327915934
SLC9A3 3.51931588755753
ASPM 4.4921179135342
c(\ELOVL1\, \MIR6734\) 1.47091550752975
ZNRD1 1.28993619131659
MPPED2 2.07748213464658
CLDN18 5.47023421247573
ZFAT 1.39032058501309
PFKP 2.38197771689911
PLPP1 1.09929157524056
CACNB1 1.826101395558
STOML1 1.36588150921042
PKM 2.70505331060643
TP53BP1 1.10630955287433
RRP15 1.26532175512633
SYT1 1.75106987445337
NAV3 2.99520059698805
IDH3G 1.08497068578052
HDAC4 1.68268490806946
RASSF1 1.24619747690723
FGFR3 1.47672735085314
HEATR6 1.33840194774381
PLEKHH3 1.08246288579758
ACSL4 2.68503562535411
FTSJ1 1.2364425525881
PRR11 3.25761402525613
ATP11A 1.1111429164025
POLR1A 1.50882498641068
TTC7A 1.11676084130186
IP6K2 1.27622762567175
KIF2A 1.25692709301881
IFT80 1.79588735425803
PPP2R5B 1.05848342540646
PYGM 1.03592042275574
PAGE1 10.3736729230871
PITX1 6.51704309203136
SDK2 2.16002452597194
NUP133 1.27041661652788
GAL 3.82336663703024
CLEC2D 1.36438839000176
FUNDC1 1.07452790406256
DRD4 2.85186196022166
HES2 3.63748207801711
ATP1B3 1.6020600391581
GNB5 1.26580648626354
UFD1L 1.31187499460139
GUCY2C 4.0741248094169
SCT 1.56802640017907
IKBKAP 1.06391734070496
c(\NUCB2\, \LOC105376575\) 1.16408195471966
c(\SPTB\, \MIR7855\) 1.40003987949887
CLTCL1 1.71345231908526
FGF22 2.0788953812051
FSTL3 1.2248456498427
DGCR2 1.17759532827526
JMJD6 1.12108735368722
FRMPD1 1.9663085640828
GBA2 1.17694586250114
NDST1 1.42106633399492
ASNS 2.41029758519266
AP3M2 1.66061034265507
CNGB1 3.54754315391786
ST6GALNAC2 1.7819251222231
c(\PABPC1\, \MIR7705\) 1.64043449148862
CAMK2A 2.55050473995774
TCOF1 1.77320232834939
OSBPL3 2.48465630244592
RAD18 1.53339016628551
TRPM5 3.97371556575049
NCK2 1.34765032080815
MAP4K4 1.30699333728582
VASH1 1.14506963241808
LMCD1 1.07970288041281
WBSCR22 1.02560235140981
TRIP13 4.16743750193865
ATP6AP1 1.44411135382286
TCF3 1.78873240534784
TRIB2 1.55323468018996
DAZAP1 1.03783784007463
HLTF 1.27634753474582
FAM50A 1.72547267841639
c(\CPSF1\, \MIR939\, \MIR1234\, \MIR6849\) 1.51157301702168
CDH19 -1.2316031083909
SLC6A15 7.7223458641374
ADGRL1 2.42773979215677
SPP2 -1.08322664923675
ZFYVE26 1.27745917151215
c(\SPEG\, \LOC100996693\) 2.70017720997997
TFRC 1.6132451503251
RHOBTB1 1.88149834548561
MARK2 1.04043394150691
HMMR 3.99855537116962
CHFR 1.04903140486284
P4HA2 2.1340638483043
FCGR2B -1.06796279990421
CRMP1 1.85507316211323
c(\NDE1\, \MIR484\) 1.15898355390713
MRVI1 1.52307780546171
XRCC1 1.48784600292687
CYP2W1 3.93168986227305
MCM2 3.20460143696349
PANX2 1.34733490797584
TP63 1.95665636264728
LLGL2 1.23672145583411
NLE1 1.49113758284951
SMARCE1 1.14248223531756
FNDC8 1.55929283560695
GSDMB 1.45987020401308
ADAM11 3.07829394951126
PPP2R3A 1.07142223553248
CD5L -2.47474349133341
PTGS2 -1.68435914712271
